id,name0,name,population,pm1998,pm1999,pm2000,pm2001,pm2002,pm2003,pm2004,pm2005,pm2006,pm2007,pm2008,pm2009,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,who1998,who1999,who2000,who2001,who2002,who2003,who2004,who2005,who2006,who2007,who2008,who2009,who2010,who2011,who2012,who2013,who2014,who2015,who2016,who2017,who2018,who2019,who2020,who2021,nat1998,nat1999,nat2000,nat2001,nat2002,nat2003,nat2004,nat2005,nat2006,nat2007,nat2008,nat2009,nat2010,nat2011,nat2012,nat2013,nat2014,nat2015,nat2016,nat2017,nat2018,nat2019,nat2020,nat2021
1232,Indonesia,Aceh,5264444,13.06,11.34,13.87,14.72,15.06,16.66,17.08,15.86,18.09,17.64,16.3,16.35,16.95,17.28,17.61,18.4,20.03,20.04,17.91,16.25,16.05,18.03,16.1,16.11,0.79,0.62,0.87,0.95,0.99,1.14,1.18,1.06,1.28,1.24,1.11,1.11,1.17,1.2,1.24,1.31,1.47,1.47,1.27,1.1,1.08,1.28,1.09,1.09,0,0,0,0,0.01,0.16,0.2,0.08,0.3,0.26,0.13,0.13,0.19,0.22,0.26,0.33,0.49,0.49,0.29,0.12,0.1,0.3,0.11,0.11
1233,Indonesia,Bali,4337013,11.88,11.31,11.09,12.05,11.89,11.33,12.99,12.1,13.63,13.6,11.72,13.18,13.46,14.69,14.23,13.71,14.83,13.32,12.58,11.26,11.84,13.13,10.89,12.63,0.67,0.62,0.6,0.69,0.68,0.62,0.78,0.7,0.85,0.84,0.66,0.8,0.83,0.95,0.9,0.85,0.96,0.82,0.74,0.61,0.67,0.8,0.58,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,Indonesia,Bangka Belitung,1475194,8.41,11.11,11.39,10.61,13.23,10.84,11.98,11.65,19.95,12,10.61,14.81,11.19,14.14,14.32,13.65,16.22,27.15,11.44,11.19,12.1,13.33,9.32,10.18,0.33,0.6,0.63,0.55,0.81,0.57,0.68,0.65,1.47,0.69,0.55,0.96,0.61,0.9,0.91,0.85,1.1,2.17,0.63,0.61,0.7,0.82,0.42,0.51,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0.12,1.19,0,0,0,0,0,0
1235,Indonesia,Banten,12070699,16.96,18.62,17.68,18.29,23.26,22.17,24.01,22.74,25.78,24.05,23.55,25.09,23.28,26.41,25.18,22.72,28.17,28.83,26.27,21.21,28.6,30.5,24.93,23.85,1.17,1.33,1.24,1.3,1.79,1.68,1.86,1.74,2.04,1.87,1.82,1.97,1.79,2.1,1.98,1.74,2.27,2.34,2.08,1.59,2.31,2.5,1.95,1.85,0.19,0.35,0.26,0.32,0.81,0.7,0.88,0.76,1.06,0.89,0.84,0.99,0.81,1.12,1,0.76,1.29,1.36,1.1,0.61,1.33,1.52,0.97,0.87
1236,Indonesia,Bengkulu,2028749,8.36,9.37,10.54,9.49,14.85,12.47,14.01,12.45,19.35,13.91,14.65,13.86,11.76,15.95,15.23,13.93,19.03,21.47,12.59,11.51,13.62,16.37,12.8,12.62,0.33,0.43,0.54,0.44,0.97,0.73,0.88,0.73,1.41,0.87,0.95,0.87,0.66,1.07,1,0.88,1.37,1.61,0.74,0.64,0.84,1.11,0.76,0.75,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.09,0.02,0,0.39,0.63,0,0,0,0.13,0,0
1237,Indonesia,Gorontalo,1158476,7.36,9.32,9.76,9.7,10.36,8.52,10.41,9.78,10.27,10.69,9.68,12.01,9.92,11.56,12.1,13.35,12.79,11.34,9.9,10.94,10.22,10.09,9.65,11.23,0.23,0.42,0.47,0.46,0.53,0.34,0.53,0.47,0.52,0.56,0.46,0.69,0.48,0.64,0.7,0.82,0.76,0.62,0.48,0.58,0.51,0.5,0.46,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,Indonesia,Jakarta Raya,10677416,21.06,22.64,23.6,23.97,29.08,27.09,29.36,28.54,32.02,31.14,29.19,31.05,28.69,32.22,32.55,29.09,33.75,35.19,31.89,25.13,34.3,37.59,30.56,29.67,1.57,1.73,1.82,1.86,2.36,2.16,2.39,2.31,2.65,2.56,2.37,2.55,2.32,2.67,2.7,2.36,2.82,2.96,2.64,1.97,2.87,3.19,2.5,2.42,0.59,0.75,0.84,0.88,1.38,1.18,1.41,1.33,1.67,1.58,1.39,1.57,1.34,1.69,1.72,1.38,1.84,1.98,1.66,0.99,1.89,2.21,1.52,1.44
1239,Indonesia,Jambi,3586156,8.78,10.34,10.4,9.03,17.8,14.35,18.11,13.73,31.14,12.94,12.86,16.66,11.38,16.56,17.7,13.36,24.12,38.71,11.32,10.36,12.13,27.55,11.08,10.99,0.37,0.52,0.53,0.39,1.25,0.92,1.28,0.86,2.56,0.78,0.77,1.14,0.63,1.13,1.24,0.82,1.87,3.3,0.62,0.53,0.7,2.21,0.6,0.59,0,0,0,0,0.27,0,0.3,0,1.58,0,0,0.16,0,0.15,0.26,0,0.89,2.32,0,0,0,1.23,0,0
1240,Indonesia,Jawa Barat,49104031,16.48,16.07,17.56,18.93,22.28,20.73,22.64,22.48,24.3,23.92,23.01,24.49,24.38,25.45,25.15,23.54,27.78,27.29,26.08,22.16,24.63,27.13,23.94,24.88,1.13,1.08,1.23,1.37,1.69,1.54,1.73,1.71,1.89,1.85,1.76,1.91,1.9,2,1.97,1.82,2.23,2.18,2.07,1.68,1.92,2.17,1.86,1.95,0.15,0.1,0.25,0.39,0.71,0.56,0.75,0.73,0.91,0.87,0.78,0.93,0.92,1.02,0.99,0.84,1.25,1.2,1.09,0.7,0.94,1.19,0.88,0.97
1241,Indonesia,Jawa Tengah,37159099,14.15,14.83,15.43,17.17,17.29,16.53,18.25,19.08,19.37,19.43,17.96,18.36,20.14,19.32,19.63,20.35,21.58,20.79,20.51,18.19,18.5,19.28,18.12,19.6,0.9,0.96,1.02,1.19,1.2,1.13,1.3,1.38,1.41,1.41,1.27,1.31,1.48,1.4,1.43,1.5,1.62,1.55,1.52,1.29,1.32,1.4,1.29,1.43,0,0,0.04,0.21,0.22,0.15,0.32,0.4,0.43,0.43,0.29,0.33,0.5,0.42,0.45,0.52,0.64,0.57,0.54,0.31,0.34,0.42,0.31,0.45
