"date","Tavg"
"01-01",26.6370244565217
"01-02",26.7026298487837
"01-03",26.7469055374593
"01-04",26.7687703318152
"01-05",26.719238345371
"01-06",26.7286090969018
"01-07",26.7543063773833
"01-08",26.7520026263953
"01-09",26.6936675461741
"01-10",26.643198407432
"01-11",26.6492317969272
"01-12",26.6083720930233
"01-13",26.5650132275132
"01-14",26.4968791500664
"01-15",26.5028112449799
"01-16",26.5531459170013
"01-17",26.5490691489362
"01-18",26.6484605087015
"01-19",26.5652173913043
"01-20",26.5312
"01-21",26.501598934044
"01-22",26.5304026845638
"01-23",26.5388963660834
"01-24",26.5648359008707
"01-25",26.5218560860794
"01-26",26.6984459459459
"01-27",26.7458697112156
"01-28",26.754527027027
"01-29",26.6438761776581
"01-30",26.6203378378378
"01-31",26.5635190217391
"02-01",26.5037184594954
"02-02",26.5210317460317
"02-03",26.5364123159304
"02-04",26.6483056478405
"02-05",26.6490703851262
"02-06",26.66
"02-07",26.638647019424
"02-08",26.6396804260985
"02-09",26.6351604278075
"02-10",26.6414438502674
"02-11",26.663126252505
"02-12",26.6494645247657
"02-13",26.720107599193
"02-14",26.7129966329966
"02-15",26.5969676549865
"02-16",26.631748158071
"02-17",26.6177462887989
"02-18",26.6411962365591
"02-19",26.6673592493298
"02-20",26.6643624161074
"02-21",26.6461798512508
"02-22",26.7295115332429
"02-23",26.7728561782579
"02-24",26.7869039623909
"02-25",26.8076196898179
"02-26",26.8700203942896
"02-27",26.9810901749664
"02-28",26.9187245590231
"02-29",26.9669811320755
"03-01",26.8003353454058
"03-02",26.8211184210526
"03-03",26.8172937293729
"03-04",26.8908669755129
"03-05",26.7004669779853
"03-06",26.8026455026455
"03-07",26.7858090185676
"03-08",26.7613395225464
"03-09",26.8723220226214
"03-10",26.9156771180787
"03-11",26.8562624254473
"03-12",26.8378686327078
"03-13",26.8421404682274
"03-14",26.8453145917001
"03-15",26.9002013422819
"03-16",26.9310621242485
"03-17",26.9174698795181
"03-18",26.9282855236825
"03-19",26.9729693741678
"03-20",26.9161911081619
"03-21",26.9484949832776
"03-22",26.9399057873486
"03-23",26.9944966442953
"03-24",26.9740442655936
"03-25",27.0259485094851
"03-26",26.9514497639919
"03-27",27.0125338753388
"03-28",27.0050709939148
"03-29",27.0461434370771
"03-30",26.9811475409836
"03-31",26.986197564276
"04-01",26.9962862930452
"04-02",27.0178666666667
"04-03",26.9853315472204
"04-04",27.1154920212766
