"date","Tavg"
2018-01-01,26.6
2018-01-02,25.9
2018-01-03,24.8
2018-01-04,25.8
2018-01-05,26
2018-01-06,26.4
2018-01-07,26.5
2018-01-08,26.5
2018-01-09,26.5
2018-01-10,26.5
2018-01-11,26.3
2018-01-12,27.4
2018-01-13,25.7
2018-01-14,26.9
2018-01-15,26.2
2018-01-16,26.3
2018-01-17,26.3
2018-01-18,25.7
2018-01-19,27.1
2018-01-20,26.6
2018-01-21,25.7
2018-01-22,25.8
2018-01-23,26.3
2018-01-24,25.9
2018-01-25,27.1
2018-01-26,26.4
2018-01-27,27.3
2018-01-28,25.9
2018-01-29,26.3
2018-01-30,26.1
2018-01-31,26.6
2018-02-01,26.6
2018-02-02,26.9
2018-02-03,27.4
2018-02-04,28.1
2018-02-05,28
2018-02-06,27.6
2018-02-07,27.6
2018-02-08,27.3
2018-02-09,27.7
2018-02-10,28
2018-02-11,27.6
2018-02-12,27.6
2018-02-13,27.8
2018-02-14,26.9
2018-02-15,26.8
2018-02-16,27.1
2018-02-17,27.2
2018-02-18,26.9
2018-02-19,27.9
2018-02-20,27.8
2018-02-21,26.5
2018-02-22,26.5
2018-02-23,26.5
2018-02-24,27.6
2018-02-25,26.9
2018-02-26,26.9
2018-02-27,26.4
2018-02-28,26
2018-03-01,26.8
2018-03-02,27.6
2018-03-03,27.5
2018-03-04,27.7
2018-03-05,28
2018-03-06,27.3
2018-03-07,27
2018-03-08,27.5
2018-03-09,27.8
2018-03-10,27.1
2018-03-11,28.3
2018-03-12,27
2018-03-13,28
2018-03-14,26.9
2018-03-15,27.1
2018-03-16,27.8
2018-03-17,27.7
2018-03-18,27.9
2018-03-19,28
2018-03-20,27.6
2018-03-21,26.3
2018-03-22,27.9
2018-03-23,27.6
2018-03-24,27.3
2018-03-25,27.5
2018-03-26,27.4
2018-03-27,26.9
2018-03-28,27.5
2018-03-29,27.2
2018-03-30,27.6
2018-03-31,28.1
2018-04-01,27.9
2018-04-02,27.9
2018-04-03,26.8
2018-04-04,27.4
2018-04-05,27.4
2018-04-06,27.7
2018-04-07,28.1
2018-04-08,27.7
2018-04-09,28.2
2018-04-10,28.5
2018-04-11,28.9
2018-04-12,28
2018-04-13,28.6
2018-04-14,28.4
2018-04-15,27.6
2018-04-16,28.3
2018-04-17,28.6
2018-04-18,27.7
2018-04-19,28
2018-04-20,27.5
2018-04-21,27.7
2018-04-22,28
2018-04-23,27.5
2018-04-24,28.2
2018-04-25,28.1
2018-04-26,25.7
2018-04-27,27.6
2018-04-28,28.8
2018-04-29,28.8
2018-04-30,28.9
2018-05-01,29.4
2018-05-02,27.4
2018-05-03,27.1
2018-05-04,28.3
2018-05-05,27.6
2018-05-06,27
2018-05-07,26.5
2018-05-08,27.6
2018-05-09,26.7
2018-05-10,28
2018-05-11,27.8
2018-05-12,28.3
2018-05-13,28.2
2018-05-14,28.2
2018-05-15,28
2018-05-16,27.8
2018-05-17,28
2018-05-18,26.6
2018-05-19,24.9
2018-05-20,26.8
2018-05-21,27.8
2018-05-22,26.8
2018-05-23,28.5
2018-05-24,27.3
2018-05-25,27.2
2018-05-26,26.1
2018-05-27,28.1
2018-05-28,28.7
2018-05-29,27.6
2018-05-30,29.5
2018-05-31,29.9
2018-06-01,28.8
2018-06-02,28.8
2018-06-03,29.3
2018-06-04,29.6
2018-06-05,27.5
2018-06-06,28.6
2018-06-07,30.3
2018-06-08,29.5
2018-06-09,28.3
2018-06-10,30.3
2018-06-11,30.5
2018-06-12,29.6
2018-06-13,29
2018-06-14,30
2018-06-15,30.3
2018-06-16,29.4
2018-06-17,28
2018-06-18,25
2018-06-19,26
2018-06-20,25.7
2018-06-21,27
2018-06-22,27.4
2018-06-23,27.1
2018-06-24,28.1
2018-06-25,25.9
2018-06-26,26.1
2018-06-27,28
2018-06-28,28
2018-06-29,27.8
2018-06-30,28.7
2018-07-01,27.8
2018-07-02,27.6
2018-07-03,26.4383528372709
2018-07-04,28.9
2018-07-05,27.3
2018-07-06,29.2
2018-07-07,28.4
2018-07-08,28.2
2018-07-09,26.4
2018-07-10,27.6
2018-07-11,27.7
2018-07-12,28.4
2018-07-13,29.3
2018-07-14,29.1
2018-07-15,30.5
2018-07-16,30.1
2018-07-17,28.2
2018-07-18,28.7
2018-07-19,29.4
2018-07-20,27.5
2018-07-21,28.6
2018-07-22,28.4
2018-07-23,29.5
2018-07-24,28.7
2018-07-25,29.5
2018-07-26,27.6
2018-07-27,27
2018-07-28,26.2
2018-07-29,24.4
2018-07-30,25.9
2018-07-31,28.1
2018-08-01,27.8
2018-08-02,28.8
2018-08-03,28.1
2018-08-04,28
2018-08-05,28.3
2018-08-06,28.2
2018-08-07,28.2
2018-08-08,27.7
2018-08-09,25.5
2018-08-10,28.4
2018-08-11,28.6
2018-08-12,27.2
2018-08-13,28.9
2018-08-14,29
2018-08-15,29.5
2018-08-16,28.1
2018-08-17,27.2
2018-08-18,28.4
2018-08-19,26.2
2018-08-20,26.1
2018-08-21,24.5
2018-08-22,24.7
2018-08-23,27.4
2018-08-24,27.2
2018-08-25,28.1
2018-08-26,28.4
2018-08-27,28.5
2018-08-28,28.8
2018-08-29,28.4
2018-08-30,28.5
2018-08-31,29.4
2018-09-01,29.2
2018-09-02,28.5
2018-09-03,27.9
2018-09-04,25
2018-09-05,28.4
2018-09-06,27.7
2018-09-07,28.2
2018-09-08,27.6
2018-09-09,27.9
2018-09-10,27.4
2018-09-11,26.7
2018-09-12,27.8
2018-09-13,28
2018-09-14,26.8
2018-09-15,25.9
2018-09-16,26.9
2018-09-17,25.4
2018-09-18,25.5
2018-09-19,27.7
2018-09-20,28
2018-09-21,28.2
2018-09-22,27.2
2018-09-23,25.6
2018-09-24,26.2
2018-09-25,28.5
2018-09-26,28
2018-09-27,27.4
2018-09-28,26.8
2018-09-29,26.7
2018-09-30,26.3
2018-10-01,27.2
2018-10-02,26.7
2018-10-03,27.1
2018-10-04,26.7
2018-10-05,26.7
2018-10-06,26.7
2018-10-07,26
2018-10-08,27
2018-10-09,26.5
2018-10-10,24.9
2018-10-11,25.7
2018-10-12,26.1
2018-10-13,25.6
2018-10-14,25
2018-10-15,26.5
2018-10-16,27.1
2018-10-17,26.8
2018-10-18,26.5
2018-10-19,26.2
2018-10-20,27.2
2018-10-21,27.7
2018-10-22,26.4
2018-10-23,27.7
2018-10-24,27.6
2018-10-25,26.2
2018-10-26,26.6
2018-10-27,27.2
2018-10-28,26.1
2018-10-29,26.8
2018-10-30,27.8
2018-10-31,26.7
2018-11-01,27.2
2018-11-02,28.2
2018-11-03,26.7
2018-11-04,26.2
2018-11-05,25.9
2018-11-06,25.9
2018-11-07,27.2
2018-11-08,26.4
2018-11-09,26.2
2018-11-10,26.3
2018-11-11,26.7
2018-11-12,26.8
2018-11-13,27.2
2018-11-14,25.6
2018-11-15,26.2
2018-11-16,26.3
2018-11-17,25.9
2018-11-18,26.6
2018-11-19,24.7
2018-11-20,26.1
2018-11-21,25.5
2018-11-22,25.2
2018-11-23,26.8
2018-11-24,26.5
2018-11-25,25.5
2018-11-26,25.2
2018-11-27,26.7
2018-11-28,25.9
2018-11-29,27.5
2018-11-30,27.5
2018-12-01,27
2018-12-02,27.5
2018-12-03,27.1
2018-12-04,26
2018-12-05,27.5
2018-12-06,25.4
2018-12-07,25.3
2018-12-08,27
2018-12-09,26.5
2018-12-10,25.8
2018-12-11,26.9
2018-12-12,27.3
2018-12-13,24.6
2018-12-14,26.3
2018-12-15,27.2
2018-12-16,26.8
2018-12-17,25.8
2018-12-18,27.1
2018-12-19,26.1
2018-12-20,26.4
2018-12-21,26.9
2018-12-22,26.5
2018-12-23,26.4
2018-12-24,26.2
2018-12-25,26.2
2018-12-26,25.9
2018-12-27,25.9
2018-12-28,25.8
2018-12-29,26.6
2018-12-30,26.2
2018-12-31,25.7
2019-01-01,26.5
2019-01-02,27.3
2019-01-03,28
2019-01-04,27.3
2019-01-05,26.7
2019-01-06,27.9
2019-01-07,27.2
2019-01-08,27.2
2019-01-09,26.5
2019-01-10,27.2
2019-01-11,26.9
2019-01-12,27.8
2019-01-13,27.4
2019-01-14,26.8
2019-01-15,26.8
2019-01-16,27.1
2019-01-17,27.4
2019-01-18,27.3
2019-01-19,26.8
2019-01-20,26.7
2019-01-21,26.8
2019-01-22,27.2
2019-01-23,27.7
2019-01-24,28
2019-01-25,27.8
2019-01-26,27
2019-01-27,27.3
2019-01-28,26.9
2019-01-29,26.4
2019-01-30,27.2
2019-01-31,26.9
2019-02-01,27
2019-02-02,26.1
2019-02-03,27.5
2019-02-04,26.5
2019-02-05,26.6
2019-02-06,27.5
2019-02-07,27.5
2019-02-08,27.1
2019-02-09,26.8
2019-02-10,26.9
2019-02-11,28
2019-02-12,27
2019-02-13,28.5
2019-02-14,28.2
2019-02-15,27.6
2019-02-16,28.1
2019-02-17,27.2
2019-02-18,27.8
2019-02-19,28.2
2019-02-20,28.5
2019-02-21,27.8
2019-02-22,27.5
2019-02-23,28.3
2019-02-24,28.3
2019-02-25,28.3
2019-02-26,28.2
2019-02-27,28.4
2019-02-28,28.1
2019-03-01,27.7
2019-03-02,28
2019-03-03,27.4
2019-03-04,27.8
2019-03-05,27.7
2019-03-06,27.7
2019-03-07,27.6
2019-03-08,28.5
2019-03-09,27.6
2019-03-10,27.1
2019-03-11,26.8
2019-03-12,27
2019-03-13,27.9
2019-03-14,28.2
2019-03-15,27.6
2019-03-16,27.5
2019-03-17,29
2019-03-18,27.1
2019-03-19,27.2
2019-03-20,27.1
2019-03-21,26.8
2019-03-22,27.4
2019-03-23,27.6
2019-03-24,27.2
2019-03-25,27.4
2019-03-26,28.2
2019-03-27,27.3
2019-03-28,28
2019-03-29,27.6
2019-03-30,28.2
2019-03-31,28.6
2019-04-01,26.1
2019-04-02,26.9
2019-04-03,28
2019-04-04,27.8
2019-04-05,27.5
2019-04-06,28.4
2019-04-07,28.3
2019-04-08,28.2
2019-04-09,28.3
2019-04-10,28.6
2019-04-11,29
2019-04-12,28.9
2019-04-13,29.5
2019-04-14,29.2
2019-04-15,27.3
2019-04-16,28.6
2019-04-17,29.1
2019-04-18,28.5
2019-04-19,29.3
2019-04-20,28.7
2019-04-21,28.7
2019-04-22,29
2019-04-23,29
2019-04-24,30.6
2019-04-25,28.4
2019-04-26,28
2019-04-27,26.6
2019-04-28,28
2019-04-29,28.7
2019-04-30,29.2
2019-05-01,29.3
2019-05-02,30.5
2019-05-03,29.3
2019-05-04,29.6
2019-05-05,28.8
2019-05-06,26.8
2019-05-07,28.2
2019-05-08,26.5
2019-05-09,28
2019-05-10,28.9
2019-05-11,29.1
2019-05-12,29
2019-05-13,29.3
2019-05-14,28.5
2019-05-15,28.2
2019-05-16,28.5
2019-05-17,28.5
2019-05-18,28
2019-05-19,28.7
2019-05-20,29.2
2019-05-21,29.3
2019-05-22,28.7
2019-05-23,28.6
2019-05-24,28.8
2019-05-25,28.7
2019-05-26,29.1
2019-05-27,28.3
2019-05-28,27.2
2019-05-29,27.6
2019-05-30,27.1
2019-05-31,27.1
2019-06-01,26.5
2019-06-02,27.2
2019-06-03,26.8
2019-06-04,27.6
2019-06-05,27.4
2019-06-06,26.1
2019-06-07,26.2
2019-06-08,27
2019-06-09,27.9
2019-06-10,27.5
2019-06-11,28.5
2019-06-12,28.5
2019-06-13,29.8
2019-06-14,27.8
2019-06-15,29.7
2019-06-16,29.9
2019-06-17,29.2
2019-06-18,29
2019-06-19,29
2019-06-20,28.5
