"month_year","Tavg"
"01-01",26.6370244565217
"01-02",26.5037184594954
"01-03",26.8003353454058
"01-04",26.9962862930452
"01-05",27.2474367737526
"01-06",26.9725476839237
"01-07",26.4650236326806
"01-08",26.3361533377396
"01-09",26.6531081081081
"01-10",27.1323784143904
"01-11",27.2281540504648
"01-12",27.1040237467018
"02-01",26.7026298487837
"02-02",26.5210317460317
"02-03",26.8211184210526
"02-04",27.0178666666667
"02-05",27.1431924882629
"02-06",27.0142087542088
"02-07",26.4524916943522
"02-08",26.3309352517986
"02-09",26.5700662251656
"02-10",27.128356254093
"02-11",27.1398058252427
"02-12",27.1089960886571
"03-01",26.7469055374593
"03-02",26.5364123159304
"03-03",26.8172937293729
"03-04",26.9853315472204
"03-05",27.2641216216216
"03-06",27.0440026954178
"03-07",26.4482432432432
"03-08",26.3191040843215
"03-09",26.5984635938544
"03-10",27.1109724047306
"03-11",27.2295114006515
"03-12",26.9870611183355
"04-01",26.7687703318152
"04-02",26.6483056478405
"04-03",26.8908669755129
"04-04",27.1154920212766
"04-05",27.3567385444744
"04-06",27.0260162601626
"04-07",26.4558606831882
"04-08",26.2978145695364
"04-09",26.5794803464357
"04-10",27.0099146421536
"04-11",27.1712031558185
"04-12",26.9551791530945
"05-01",26.719238345371
"05-02",26.6490703851262
"05-03",26.7004669779853
"05-04",27.0028206850235
"05-05",27.3181389076197
"05-06",27.0323150033944
"05-07",26.4507733691997
"05-08",26.3364528795812
"05-09",26.5898338870432
"05-10",27.0749834983498
"05-11",27.2266060999351
"05-12",26.9659841479524
"06-01",26.7286090969018
"06-02",26.66
"06-03",26.8026455026455
"06-04",27.0323745819398
"06-05",27.4104909213181
"06-06",27.0566063044936
"06-07",26.3593539703903
"06-08",26.4121630506246
"06-09",26.5533378287256
"06-10",27.0673076923077
"06-11",27.205828421742
"06-12",26.9515191545575
"07-01",26.7543063773833
"07-02",26.638647019424
"07-03",26.7858090185676
"07-04",27.0109772423025
"07-05",27.4056043214045
"07-06",27.0997987927565
"07-07",26.3979838709677
"07-08",26.3780407626561
"07-09",26.6152291105121
"07-10",27.0106763925729
"07-11",27.1478061558612
"07-12",27.0549543676662
"08-01",26.7520026263953
"08-02",26.6396804260985
"08-03",26.7613395225464
"08-04",27.0487919463087
"08-05",27.2800135043889
"08-06",27.0587997302765
"08-07",26.4281521014009
"08-08",26.4175346077785
"08-09",26.7093226022803
"08-10",26.9653668208857
"08-11",27.0665143603133
"08-12",27.0128903654485
"09-01",26.6936675461741
"09-02",26.6351604278075
"09-03",26.8723220226214
"09-04",27.0733197556008
"09-05",27.3301075268817
"09-06",27.0026298044504
