"Sector","Year","CO2","CH4","N2O"
"Agriculture","1998",3.751523246,104.1370116,49.02392294
"Agriculture","1999",3.573794738,102.4745234,47.60413196
"Agriculture","2000",3.558866146,99.08770405,48.15614118
"Agriculture","2001",3.569185197,98.67646664,47.75138583
"Agriculture","2002",3.994047043,100.7368474,50.97361208
"Agriculture","2003",4.109547044,100.4519984,49.49937224
"Agriculture","2004",4.340337484,104.3879311,51.28385259
"Agriculture","2005",4.587261256,105.0772368,51.45478649
"Agriculture","2006",4.231227968,106.763196,51.96673454
"Agriculture","2007",4.532523155,109.3560655,52.28723099
"Agriculture","2008",4.798094557,112.2335581,53.5204249
"Agriculture","2009",5.895684948,114.2420112,57.74366325
"Agriculture","2010",5.393456448,116.6951079,56.31446584
"Agriculture","2011",5.075451692,116.8545023,56.95734674
"Agriculture","2012",5.841051678,118.9209552,58.78556237
"Agriculture","2013",5.729008861,112.0845856,57.26122127
"Agriculture","2014",5.875204081,114.958037,60.19934795
"Agriculture","2015",6.446942129,115.451635,62.73355389
"Agriculture","2016",6.098085042,111.0242707,60.0505295
"Agriculture","2017",6.489999292,115.0437839,64.39379523
"Agriculture","2018",6.670556411,117.9321927,65.59473546
"Agriculture","2019",6.553589754,114.0675419,65.79195805
"Agriculture","2020",6.675218309,115.2795793,65.33534694
"Agriculture","2021",6.687098307,117.3199205,66.0350832
"Buildings","1998",33.17530726,13.77425867,2.302132529
"Buildings","1999",40.15619146,13.97478774,2.573093375
"Buildings","2000",45.02374149,14.39167318,2.719267888
"Buildings","2001",45.31672749,14.58108515,2.790435898
"Buildings","2002",43.70035839,14.78512906,2.79764057
"Buildings","2003",43.21587627,14.9818545,2.785234376
"Buildings","2004",45.04322382,15.13715862,2.923697089
"Buildings","2005",42.31195861,15.18833698,2.855005542
"Buildings","2006",37.86508031,15.34469899,2.749323195
"Buildings","2007",37.48158987,15.51099807,2.649152537
"Buildings","2008",34.42326426,15.51741643,2.646353577
"Buildings","2009",30.63086041,14.55193105,2.557372337
"Buildings","2010",27.36692998,14.5264174,2.453534238
"Buildings","2011",29.5431499,13.99106623,2.576740866
"Buildings","2012",33.55253454,13.10975437,2.735827947
"Buildings","2013",33.60791122,12.1396389,2.553552476
"Buildings","2014",33.04187084,11.53627409,2.3787525
"Buildings","2015",29.84070741,10.12885693,1.92472749
"Buildings","2016",29.76822229,9.384602533,1.787194808
"Buildings","2017",30.71033339,8.456774012,1.612887338
"Buildings","2018",30.09680195,7.181658822,1.294711234
"Buildings","2019",28.57505457,5.783793496,0.972666051
"Buildings","2020",28.6505831,4.868819525,0.835563985
"Buildings","2021",29.79985563,4.670622524,0.820577028
"Fuel Exploitation","1998",60.00817679,87.5045958,0.108901172
"Fuel Exploitation","1999",49.22708038,86.03603009,0.087694104
"Fuel Exploitation","2000",37.31187085,83.04341414,0.081014868
"Fuel Exploitation","2001",39.97862081,85.8626213,0.080556206
"Fuel Exploitation","2002",43.10794411,84.03520355,0.075592887
"Fuel Exploitation","2003",46.85076093,87.33807493,0.077316823
"Fuel Exploitation","2004",40.60059853,86.65278263,0.071643545
"Fuel Exploitation","2005",38.2196633,90.55071131,0.070333664
"Fuel Exploitation","2006",38.33173032,101.7399303,0.070366088
"Fuel Exploitation","2007",34.29045765,100.9896004,0.065925367
"Fuel Exploitation","2008",34.18077083,104.7832122,0.064334002
"Fuel Exploitation","2009",36.455181,117.9065064,0.06744768
"Fuel Exploitation","2010",35.52988108,123.0604566,0.061843951
"Fuel Exploitation","2011",36.00008606,161.0397111,0.062195537
"Fuel Exploitation","2012",34.79449466,170.4421999,0.069971571
"Fuel Exploitation","2013",33.68444736,172.9539473,0.066294694
"Fuel Exploitation","2014",34.13385878,179.2722488,0.06866967
"Fuel Exploitation","2015",32.79242686,168.9845499,0.070685687
"Fuel Exploitation","2016",33.84267478,175.676018,0.066708841
"Fuel Exploitation","2017",30.83133964,192.1560592,0.067948515
"Fuel Exploitation","2018",31.09731633,220.0055764,0.066258886
"Fuel Exploitation","2019",29.75433521,235.2145162,0.06388476
"Fuel Exploitation","2020",29.08477096,217.9668603,0.060116015
"Fuel Exploitation","2021",28.76598971,218.8955718,0.058906469
"Industrial Combustion","1998",47.63153865,0.368776615,0.505860876
"Industrial Combustion","1999",61.23913518,0.39258601,0.540130487
"Industrial Combustion","2000",57.94300009,0.398580528,0.545322225
"Industrial Combustion","2001",62.20601734,0.381650853,0.525306733
"Industrial Combustion","2002",58.98491382,0.365020389,0.506402821
"Industrial Combustion","2003",74.6716682,0.396568232,0.550226789
"Industrial Combustion","2004",80.25986586,0.374455593,0.529174052
"Industrial Combustion","2005",81.30047437,0.369355172,0.524778045
