"Province","Latitude","Longitude","Year","Value"
"Aceh",4.3685491,97.0253024,"1998",13.06
"Aceh",4.3685491,97.0253024,"1999",11.34
"Aceh",4.3685491,97.0253024,"2000",13.87
"Aceh",4.3685491,97.0253024,"2001",14.72
"Aceh",4.3685491,97.0253024,"2002",15.06
"Aceh",4.3685491,97.0253024,"2003",16.66
"Aceh",4.3685491,97.0253024,"2004",17.08
"Aceh",4.3685491,97.0253024,"2005",15.86
"Aceh",4.3685491,97.0253024,"2006",18.09
"Aceh",4.3685491,97.0253024,"2007",17.64
"Aceh",4.3685491,97.0253024,"2008",16.3
"Aceh",4.3685491,97.0253024,"2009",16.35
"Aceh",4.3685491,97.0253024,"2010",16.95
"Aceh",4.3685491,97.0253024,"2011",17.28
"Aceh",4.3685491,97.0253024,"2012",17.61
"Aceh",4.3685491,97.0253024,"2013",18.4
"Aceh",4.3685491,97.0253024,"2014",20.03
"Aceh",4.3685491,97.0253024,"2015",20.04
"Aceh",4.3685491,97.0253024,"2016",17.91
"Aceh",4.3685491,97.0253024,"2017",16.25
"Aceh",4.3685491,97.0253024,"2018",16.05
"Aceh",4.3685491,97.0253024,"2019",18.03
"Aceh",4.3685491,97.0253024,"2020",16.1
"Aceh",4.3685491,97.0253024,"2021",16.11
"Bali",-8.3304977,115.0906401,"1998",11.88
"Bali",-8.3304977,115.0906401,"1999",11.31
"Bali",-8.3304977,115.0906401,"2000",11.09
"Bali",-8.3304977,115.0906401,"2001",12.05
"Bali",-8.3304977,115.0906401,"2002",11.89
"Bali",-8.3304977,115.0906401,"2003",11.33
"Bali",-8.3304977,115.0906401,"2004",12.99
"Bali",-8.3304977,115.0906401,"2005",12.1
"Bali",-8.3304977,115.0906401,"2006",13.63
"Bali",-8.3304977,115.0906401,"2007",13.6
"Bali",-8.3304977,115.0906401,"2008",11.72
"Bali",-8.3304977,115.0906401,"2009",13.18
"Bali",-8.3304977,115.0906401,"2010",13.46
"Bali",-8.3304977,115.0906401,"2011",14.69
"Bali",-8.3304977,115.0906401,"2012",14.23
"Bali",-8.3304977,115.0906401,"2013",13.71
