"WindSpeedCategory","DirectionBin","Count"
3,150,1
3,160,8
3,170,5
3,180,12
3,190,11
3,200,12
3,210,12
3,220,3
3,280,1
4,100,1
4,130,2
4,140,23
4,150,118
4,160,293
4,170,470
4,180,437
4,190,336
4,200,300
4,210,317
4,220,302
4,230,234
4,240,129
4,250,45
4,260,5
4,350,1
4,360,1
5,70,1
5,90,1
5,110,1
5,140,14
5,150,54
5,160,116
5,170,154
5,180,134
5,190,75
5,200,32
5,210,31
5,220,36
5,230,54
5,240,91
5,250,79
5,260,25
5,270,1
5,340,1
6,150,2
6,160,2
6,170,5
6,180,1
6,200,1
6,210,3
6,240,6
6,250,4
6,260,9
6,270,2
7,100,1
7,260,1
7,340,1
8,70,1
